synset:union_of_burma.n.01	member_of_domain_region	synset:dakoit.n.01
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:devonshire_cream.n.01
synset:rome.n.01	member_of_domain_region	synset:bacchus.n.01
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:muffin_man.n.01
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:boot.n.02
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:fives.n.01
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:ponce.n.01
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:clearway.n.01
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:titfer.n.01
synset:italy.n.01	member_of_domain_region	synset:calabria.n.01
synset:usa.n.01	member_of_domain_region	synset:marine.a.03
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:tannoy.n.01
synset:nippon.n.01	member_of_domain_region	synset:jujutsu.n.01
synset:portuguese_republic.n.01	member_of_domain_region	synset:portuguese.n.01
synset:portuguese_republic.n.01	member_of_domain_region	synset:duenna.n.01
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:paternoster.n.02
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:current_account.n.02
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:shooting_brake.n.01
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:convener.n.01
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:snorter.n.02
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:elastoplast.n.01
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:pong.n.01
synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	member_of_domain_region	synset:preceptor.n.01
synset:french_republic.n.01	member_of_domain_region	synset:verdun.n.01
synset:polynesia.n.01	member_of_domain_region	synset:kavakava.n.01
synset:republic_of_india.n.01	member_of_domain_region	synset:dakoit.n.01
