synset:yield.v.06,synset:move.v.03	-1	-hypernym-,1.0
synset:efficacious.a.02,synset:serviceable.a.01	-1	-_also_see-also_see-,0.04938271604938271 -#- -also_see-also_see-,0.04878048780487805 -#- -also_see-_also_see-,0.08235294117647059 -#- -_also_see-_also_see-,0.06976744186046512 -#- -_also_see-_also_see-also_see-also_see-,0.14285714285714285
synset:inelegant.a.01,synset:tasteless.a.02	1	-derivationally_related_form-_hypernym-_derivationally_related_form-,1.0 -#- -derivationally_related_form-_hypernym-derivationally_related_form-,1.0 -#- -_derivationally_related_form-_hypernym-derivationally_related_form-,1.0 -#- -_derivationally_related_form-_hypernym-_derivationally_related_form-,1.0
synset:noncompliant.a.01,synset:disobedient.a.01	1	-derivationally_related_form-_derivationally_related_form-,0.12280701754385964 -#- -_derivationally_related_form-derivationally_related_form-,0.1694915254237288 -#- -_derivationally_related_form-_derivationally_related_form-,0.07547169811320754 -#- -derivationally_related_form-derivationally_related_form-,0.10714285714285714 -#- -_also_see-also_see-,0.22857142857142856 -#- -also_see-also_see-,0.2413793103448276 -#- -also_see-_also_see-,0.15 -#- -_also_see-_also_see-,0.20588235294117646 -#- -also_see-_also_see-also_see-,0.08695652173913043 -#- -also_see-_also_see-_also_see-,0.3 -#- -_also_see-_also_see-also_see-,0.23076923076923078 -#- -_also_see-also_see-also_see-,0.14285714285714285 -#- -_also_see-_also_see-_also_see-,0.2 -#- -also_see-also_see-_also_see-,0.09523809523809523 -#- -_also_see-also_see-_also_see-,0.14285714285714285 -#- -_derivationally_related_form-derivationally_related_form-derivationally_related_form-,0.04 -#- -_derivationally_related_form-derivationally_related_form-_derivationally_related_form-,0.1 -#- -derivationally_related_form-_derivationally_related_form-_derivationally_related_form-,0.02 -#- -derivationally_related_form-derivationally_related_form-derivationally_related_form-,0.04 -#- -_also_see-_also_see-also_see-also_see-,0.2 -#- -derivationally_related_form-derivationally_related_form-_derivationally_related_form-,0.08 -#- -derivationally_related_form-_derivationally_related_form-derivationally_related_form-,0.06 -#- -_derivationally_related_form-_derivationally_related_form-derivationally_related_form-,0.04 -#- -_derivationally_related_form-_derivationally_related_form-_derivationally_related_form-,0.08
synset:efficacious.a.02,synset:efficacious.a.01	1	-_also_see-,0.391304347826087 -#- -also_see-,0.4016393442622951 -#- -derivationally_related_form-_derivationally_related_form-,0.37037037037037035 -#- -_derivationally_related_form-derivationally_related_form-,0.18446601941747573 -#- -_derivationally_related_form-_derivationally_related_form-,0.2631578947368421 -#- -derivationally_related_form-derivationally_related_form-,0.19230769230769232 -#- -also_see-also_see-also_see-,0.1702127659574468 -#- -also_see-_also_see-also_see-,0.14 -#- -also_see-_also_see-_also_see-,0.1875 -#- -_also_see-_also_see-also_see-,0.23404255319148937 -#- -derivationally_related_form-derivationally_related_form-also_see-,0.24242424242424243 -#- -_also_see-also_see-also_see-,0.15384615384615385 -#- -_also_see-_derivationally_related_form-_derivationally_related_form-,0.3218390804597701 -#- -derivationally_related_form-derivationally_related_form-_also_see-,0.3902439024390244 -#- -derivationally_related_form-_derivationally_related_form-also_see-,0.2558139534883721 -#- -derivationally_related_form-_hypernym-_derivationally_related_form-,0.4909090909090909 -#- -_derivationally_related_form-derivationally_related_form-_also_see-,0.32558139534883723 -#- -derivationally_related_form-_hypernym-derivationally_related_form-,0.3488372093023256 -#- -_derivationally_related_form-_hypernym-derivationally_related_form-,0.49019607843137253 -#- -_derivationally_related_form-_derivationally_related_form-also_see-,0.36363636363636365 -#- -_also_see-_derivationally_related_form-derivationally_related_form-,0.22972972972972974 -#- -_also_see-_also_see-_also_see-,0.16 -#- -also_see-also_see-_also_see-,0.13559322033898305 -#- -_derivationally_related_form-derivationally_related_form-also_see-,0.3953488372093023 -#- -_derivationally_related_form-_hypernym-_derivationally_related_form-,0.3488372093023256 -#- -_derivationally_related_form-_derivationally_related_form-_also_see-,0.275 -#- -also_see-_derivationally_related_form-derivationally_related_form-,0.13432835820895522 -#- -_also_see-also_see-_also_see-,0.08888888888888889 -#- -derivationally_related_form-_derivationally_related_form-_also_see-,0.30612244897959184 -#- -also_see-derivationally_related_form-_derivationally_related_form-,0.2375 -#- -also_see-_derivationally_related_form-_derivationally_related_form-,0.23076923076923078 -#- -_also_see-derivationally_related_form-_derivationally_related_form-,0.20512820512820512 -#- -also_see-derivationally_related_form-derivationally_related_form-,0.24050632911392406 -#- -_also_see-derivationally_related_form-derivationally_related_form-,0.17073170731707318 -#- -derivationally_related_form-hypernym-_hypernym-_derivationally_related_form-,0.17647058823529413
synset:generous.a.01,synset:unselfish.a.01	1	-derivationally_related_form-_derivationally_related_form-,0.27941176470588236 -#- -_derivationally_related_form-derivationally_related_form-,0.35135135135135137 -#- -_derivationally_related_form-_derivationally_related_form-,0.4027777777777778 -#- -derivationally_related_form-derivationally_related_form-,0.4125 -#- -derivationally_related_form-hypernym-_hypernym-_derivationally_related_form-,0.16
synset:set.v.23,synset:set.v.01	-1	-_hypernym-derivationally_related_form-derivationally_related_form-,0.08139534883720931 -#- -_hypernym-derivationally_related_form-_derivationally_related_form-,0.08888888888888889
synset:send.v.01,synset:compulsion.n.03	-1	-derivationally_related_form-hypernym-_hypernym-,0.32 -#- -_derivationally_related_form-hypernym-_hypernym-,0.2
synset:threaten.v.01,synset:existence.n.01	-1	-hypernym-derivationally_related_form-,0.24 -#- -hypernym-_derivationally_related_form-,0.25
synset:take_back.v.01,synset:bring_forward.v.01	-1	-derivationally_related_form-hypernym-_hypernym-_derivationally_related_form-,0.04
synset:wipe.n.01,synset:wipe_off.v.02	-1	-derivationally_related_form-also_see-,0.4230769230769231 -#- -_derivationally_related_form-also_see-,0.41935483870967744
synset:impure.a.01,synset:unclean.a.02	1	-derivationally_related_form-_derivationally_related_form-,0.27 -#- -_derivationally_related_form-derivationally_related_form-,0.24 -#- -_derivationally_related_form-_derivationally_related_form-,0.25 -#- -derivationally_related_form-derivationally_related_form-,0.2
synset:susceptible.a.01,synset:susceptible.a.01	-1	-derivationally_related_form-_derivationally_related_form-,1.0 -#- -_derivationally_related_form-derivationally_related_form-,1.0 -#- -_derivationally_related_form-_derivationally_related_form-,1.0 -#- -derivationally_related_form-derivationally_related_form-,1.0 -#- -_also_see-also_see-,0.3711340206185567 -#- -also_see-also_see-,0.358695652173913 -#- -also_see-_also_see-,0.3548387096774194 -#- -_also_see-_also_see-,0.42105263157894735 -#- -also_see-also_see-also_see-,0.08928571428571429 -#- -also_see-_also_see-also_see-,0.017543859649122806 -#- -also_see-_also_see-_also_see-,0.03333333333333333 -#- -_also_see-_also_see-also_see-,0.07547169811320754 -#- -_also_see-also_see-also_see-,0.03636363636363636 -#- -_also_see-_also_see-_also_see-,0.016129032258064516 -#- -also_see-also_see-_also_see-,0.03508771929824561 -#- -_also_see-also_see-_also_see-,0.05172413793103448 -#- -_also_see-_also_see-also_see-also_see-,0.22
synset:trip.v.04,synset:trip.v.04	-1	-derivationally_related_form-_derivationally_related_form-,0.6575342465753424 -#- -_derivationally_related_form-derivationally_related_form-,0.5616438356164384 -#- -_derivationally_related_form-_derivationally_related_form-,0.6623376623376623 -#- -derivationally_related_form-derivationally_related_form-,0.6493506493506493 -#- -hypernym-_hypernym-,0.15714285714285714 -#- -derivationally_related_form-hypernym-_hypernym-_derivationally_related_form-,0.4634146341463415 -#- -_derivationally_related_form-hypernym-derivationally_related_form-,0.1 -#- -_derivationally_related_form-hypernym-_derivationally_related_form-,0.07692307692307693 -#- -_derivationally_related_form-_hypernym-_derivationally_related_form-,0.02564102564102564 -#- -derivationally_related_form-hypernym-_derivationally_related_form-,0.05405405405405406 -#- -derivationally_related_form-hypernym-derivationally_related_form-,0.05405405405405406
synset:tasteless.a.02,synset:inelegant.a.01	1	-_derivationally_related_form-hypernym-derivationally_related_form-,1.0 -#- -_derivationally_related_form-hypernym-_derivationally_related_form-,1.0 -#- -derivationally_related_form-hypernym-_derivationally_related_form-,1.0 -#- -derivationally_related_form-hypernym-derivationally_related_form-,1.0
synset:unselfish.a.01,synset:generous.a.01	1	-derivationally_related_form-_derivationally_related_form-,0.49 -#- -_derivationally_related_form-derivationally_related_form-,0.47 -#- -_derivationally_related_form-_derivationally_related_form-,0.46 -#- -derivationally_related_form-derivationally_related_form-,0.46 -#- -derivationally_related_form-hypernym-_hypernym-_derivationally_related_form-,0.3
synset:incorporeality.n.01,synset:nonmaterial.a.01	-1	-_derivationally_related_form-also_see-also_see-,1.0 -#- -derivationally_related_form-also_see-also_see-,1.0 -#- -derivationally_related_form-_also_see-_also_see-,1.0 -#- -derivationally_related_form-also_see-_also_see-,1.0 -#- -_derivationally_related_form-derivationally_related_form-_derivationally_related_form-,0.52 -#- -_derivationally_related_form-also_see-_also_see-,1.0 -#- -derivationally_related_form-_derivationally_related_form-_derivationally_related_form-,0.66 -#- -_derivationally_related_form-_also_see-_also_see-,1.0 -#- -derivationally_related_form-derivationally_related_form-derivationally_related_form-,0.62 -#- -_derivationally_related_form-,0.49 -#- -derivationally_related_form-,0.45 -#- -derivationally_related_form-derivationally_related_form-_derivationally_related_form-,0.56 -#- -derivationally_related_form-_derivationally_related_form-derivationally_related_form-,0.66 -#- -_derivationally_related_form-_derivationally_related_form-derivationally_related_form-,0.44 -#- -_derivationally_related_form-_also_see-also_see-,1.0 -#- -_derivationally_related_form-_derivationally_related_form-_derivationally_related_form-,0.44 -#- -derivationally_related_form-_also_see-also_see-,1.0 -#- -_derivationally_related_form-derivationally_related_form-derivationally_related_form-,0.42
synset:susceptible.a.01,synset:vulnerable.a.01	1	-_also_see-,0.36875 -#- -also_see-,0.39634146341463417 -#- -_also_see-also_see-,0.09278350515463918 -#- -also_see-also_see-,0.11956521739130435 -#- -also_see-_also_see-,0.0967741935483871 -#- -_also_see-_also_see-,0.10526315789473684 -#- -also_see-also_see-also_see-,0.21428571428571427 -#- -also_see-_also_see-also_see-,0.24561403508771928 -#- -also_see-_also_see-_also_see-,0.3 -#- -_also_see-_also_see-also_see-,0.22641509433962265 -#- -derivationally_related_form-derivationally_related_form-also_see-,0.18 -#- -_also_see-also_see-also_see-,0.23636363636363636 -#- -_also_see-_derivationally_related_form-_derivationally_related_form-,0.64 -#- -derivationally_related_form-derivationally_related_form-_also_see-,0.4 -#- -derivationally_related_form-_derivationally_related_form-also_see-,0.36 -#- -_derivationally_related_form-derivationally_related_form-_also_see-,0.3 -#- -_derivationally_related_form-_derivationally_related_form-also_see-,0.36 -#- -_also_see-_derivationally_related_form-derivationally_related_form-,0.5 -#- -_also_see-_also_see-_also_see-,0.3387096774193548 -#- -also_see-also_see-_also_see-,0.2807017543859649 -#- -_derivationally_related_form-derivationally_related_form-also_see-,0.22 -#- -_derivationally_related_form-_derivationally_related_form-_also_see-,0.2 -#- -also_see-_derivationally_related_form-derivationally_related_form-,0.5272727272727272 -#- -_also_see-also_see-_also_see-,0.20689655172413793 -#- -derivationally_related_form-_derivationally_related_form-_also_see-,0.24 -#- -also_see-derivationally_related_form-_derivationally_related_form-,0.46153846153846156 -#- -also_see-_derivationally_related_form-_derivationally_related_form-,0.5283018867924528 -#- -_also_see-derivationally_related_form-_derivationally_related_form-,0.6206896551724138 -#- -also_see-derivationally_related_form-derivationally_related_form-,0.5932203389830508 -#- -_also_see-derivationally_related_form-derivationally_related_form-,0.5625 -#- -_also_see-_also_see-also_see-also_see-,0.14
