object:sandwich.n.01	used_for	affordance:eating.n.01
object:lid.n.02	used_for	affordance:cooking.n.01
object:lid.n.02	used_for	affordance:boiling.n.02
object:spoon.n.01	used_for	affordance:cooking.n.01
object:spoon.n.01	used_for	affordance:mixing.n.01
object:spoon.n.01	used_for	affordance:measurement.n.01
object:spoon.n.01	used_for	affordance:eating.n.01
object:cup.n.01	used_for	affordance:measurement.n.01
object:cup.n.01	used_for	affordance:drinking.n.01
object:bread.n.01	used_for	affordance:toasting.n.01
object:bread.n.01	used_for	affordance:baking.n.02
object:bread.n.01	used_for	affordance:eating.n.01
object:hanger.n.02	used_for	affordance:supporting.n.01
object:hanger.n.02	used_for	affordance:storage.n.01
object:soap.n.01	used_for	affordance:cleaning.n.01
object:soap.n.01	used_for	affordance:washing.n.01
object:chair.n.01	used_for	affordance:supporting.n.01
object:potato.n.01	used_for	affordance:cooking.n.01
object:potato.n.01	used_for	affordance:frying.n.01
object:potato.n.01	used_for	affordance:eating.n.01
object:omelet.n.01	used_for	affordance:eating.n.01
object:plate.n.04	used_for	affordance:eating.n.01
object:plate.n.04	used_for	affordance:supporting.n.01
object:dish.n.01	used_for	affordance:cooking.n.01
object:dish.n.01	used_for	affordance:eating.n.01
object:dish.n.01	used_for	affordance:supporting.n.01
object:dish.n.01	used_for	affordance:storage.n.01
object:can.n.01	used_for	affordance:measurement.n.01
object:can.n.01	used_for	affordance:drinking.n.01
object:can.n.01	used_for	affordance:storage.n.01
object:toaster.n.02	used_for	affordance:cooking.n.01
object:toaster.n.02	used_for	affordance:toasting.n.01
object:toaster.n.02	used_for	affordance:baking.n.02
object:toaster.n.02	used_for	affordance:burning.n.01
object:toaster.n.02	used_for	affordance:heating.n.01
object:skillet.n.01	used_for	affordance:cooking.n.01
object:skillet.n.01	used_for	affordance:frying.n.01
object:skillet.n.01	used_for	affordance:burning.n.01
object:skillet.n.01	used_for	affordance:heating.n.01
object:skillet.n.01	used_for	affordance:mixing.n.01
object:coffee_maker.n.01	used_for	affordance:heating.n.01
object:candle.n.01	used_for	affordance:burning.n.01
object:candle.n.01	used_for	affordance:heating.n.01
object:teapot.n.01	used_for	affordance:cooking.n.01
object:teapot.n.01	used_for	affordance:boiling.n.02
object:teapot.n.01	used_for	affordance:heating.n.01
object:teapot.n.01	used_for	affordance:drinking.n.01
object:lettuce.n.02	used_for	affordance:eating.n.01
object:apple.n.01	used_for	affordance:cooking.n.01
object:apple.n.01	used_for	affordance:baking.n.02
object:apple.n.01	used_for	affordance:peeling.n.01
object:apple.n.01	used_for	affordance:eating.n.01
object:egg.n.02	used_for	affordance:cooking.n.01
object:egg.n.02	used_for	affordance:frying.n.01
object:egg.n.02	used_for	affordance:baking.n.02
object:egg.n.02	used_for	affordance:eating.n.01
object:towel.n.01	used_for	affordance:cleaning.n.01
object:towel.n.01	used_for	affordance:washing.n.01
object:table.n.02	used_for	affordance:cutting.n.03
object:table.n.02	used_for	affordance:eating.n.01
object:table.n.02	used_for	affordance:supporting.n.01
object:vacuum.n.04	used_for	affordance:cleaning.n.01
object:faucet.n.01	used_for	affordance:cleaning.n.01
object:faucet.n.01	used_for	affordance:washing.n.01
object:faucet.n.01	used_for	affordance:drinking.n.01
object:tissue_paper.n.01	used_for	affordance:cleaning.n.01
object:microwave.n.02	used_for	affordance:cooking.n.01
object:microwave.n.02	used_for	affordance:boiling.n.02
object:microwave.n.02	used_for	affordance:heating.n.01
object:tomato.n.01	used_for	affordance:cooking.n.01
object:tomato.n.01	used_for	affordance:eating.n.01
object:mug.n.04	used_for	affordance:drinking.n.01
object:cutting_board.n.01	used_for	affordance:cutting.n.03
object:cutting_board.n.01	used_for	affordance:slicing.n.02
object:cutting_board.n.01	used_for	affordance:peeling.n.01
object:oven.n.01	used_for	affordance:cooking.n.01
object:oven.n.01	used_for	affordance:frying.n.01
object:oven.n.01	used_for	affordance:roasting.n.01
object:oven.n.01	used_for	affordance:toasting.n.01
object:oven.n.01	used_for	affordance:baking.n.02
object:oven.n.01	used_for	affordance:burning.n.01
object:oven.n.01	used_for	affordance:heating.n.01
object:scrub_brush.n.01	used_for	affordance:cleaning.n.01
object:scrub_brush.n.01	used_for	affordance:washing.n.01
object:napkin.n.01	used_for	affordance:cleaning.n.01
object:napkin.n.01	used_for	affordance:washing.n.01
object:water_bottle.n.01	used_for	affordance:drinking.n.01
object:refrigerator.n.01	used_for	affordance:storage.n.01
object:counter.n.01	used_for	affordance:cutting.n.03
object:counter.n.01	used_for	affordance:slicing.n.02
object:counter.n.01	used_for	affordance:rolling.n.03
object:counter.n.01	used_for	affordance:supporting.n.01
object:jar.n.01	used_for	affordance:drinking.n.01
object:jar.n.01	used_for	affordance:storage.n.01
object:rolling_pin.n.01	used_for	affordance:cooking.n.01
