1	|film|film|runtime.|film|film_cut|film_release_region
2	|sports|sports_team|sport
3	|film|actor|film.|film|performance|special_performance_type
4	|film|film_distributor|films_distributed.|film|film_film_distributor_relationship|film
5	|people|ethnicity|people
6	|location|statistical_region|rent50_2.|measurement_unit|dated_money_value|currency
7	|tv|tv_producer|programs_produced.|tv|tv_producer_term|program
8	|education|university|international_tuition.|measurement_unit|dated_money_value|currency
9	|sports|sports_team_location|teams
10	|olympics|olympic_sport|athletes.|olympics|olympic_athlete_affiliation|olympics
11	|base|localfood|seasonal_month|produce_available.|base|localfood|produce_availability|seasonal_months
12	|location|statistical_region|gdp_real.|measurement_unit|adjusted_money_value|adjustment_currency
13	|music|group_member|membership.|music|group_membership|role
14	|education|university|local_tuition.|measurement_unit|dated_money_value|currency
15	|business|business_operation|assets.|measurement_unit|dated_money_value|currency
16	|people|person|profession
17	|award|award_nominee|award_nominations.|award|award_nomination|award
18	|travel|travel_destination|climate.|travel|travel_destination_monthly_climate|month
19	|award|award_nominated_work|award_nominations.|award|award_nomination|nominated_for
20	|award|award_winner|awards_won.|award|award_honor|award_winner
21	|location|country|second_level_divisions
22	|education|educational_institution|school_type
23	|film|film|executive_produced_by
24	|organization|organization_founder|organizations_founded
25	|award|award_category|disciplines_or_subjects
26	|government|legislative_session|members.|government|government_position_held|legislative_sessions
27	|soccer|football_team|current_roster.|sports|sports_team_roster|position
28	|film|film|featured_film_locations
29	|olympics|olympic_sport|athletes.|olympics|olympic_athlete_affiliation|country
30	|film|film|country
31	|olympics|olympic_participating_country|medals_won.|olympics|olympic_medal_honor|medal
32	|base|popstra|celebrity|friendship.|base|popstra|friendship|participant
33	|film|film|written_by
34	|tv|tv_program|program_creator
35	|military|military_combatant|military_conflicts.|military|military_combatant_group|combatants
36	|film|film|dubbing_performances.|film|dubbing_performance|actor
37	|film|film|film_festivals
38	|film|film_set_designer|film_sets_designed
39	|music|instrument|instrumentalists
40	|location|country|form_of_government
41	|american_football|football_team|current_roster.|sports|sports_team_roster|position
42	|business|job_title|people_with_this_title.|business|employment_tenure|company
43	|tv|tv_program|genre
44	|award|hall_of_fame|inductees.|award|hall_of_fame_induction|inductee
45	|people|person|languages
46	|tv|tv_producer|programs_produced.|tv|tv_producer_term|producer_type
47	|ice_hockey|hockey_team|current_roster.|sports|sports_team_roster|position
48	|base|eating|practicer_of_diet|diet
49	|location|us_county|county_seat
50	|education|educational_degree|people_with_this_degree.|education|education|major_field_of_study
51	|base|popstra|celebrity|dated.|base|popstra|dated|participant
52	|tv|tv_personality|tv_regular_appearances.|tv|tv_regular_personal_appearance|program
53	|music|artist|origin
54	|organization|organization|headquarters.|location|mailing_address|country
55	|user|ktrueman|default_domain|international_organization|member_states
56	|award|award_category|category_of
57	|music|artist|contribution.|music|recording_contribution|performance_role
58	|celebrities|celebrity|celebrity_friends.|celebrities|friendship|friend
